schema_version	experiment_id	profile	workload_id	phase	event_code	requirement	expected_activation_count	raw_occurrence_count	valid_occurrence_count	distinct_activation_count	requests_with_duplicate_occurrences	coverage_status	detail
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	C010	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	C800	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	C900	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	OW120	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	OW150	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	OW260	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	OW300	per_activation_required	300	597	597	300	297	complete_with_duplicate_occurrences	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	OW310	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	OW800	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	N300	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	N700	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	N800	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	RG270	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	RG280	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	GINPUT	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	R400	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	R410	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	R420	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	R430	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	DB500	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	DB510	per_activation_required	300	300	300	300	0	complete	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	RF400	per_activation_optional	300	300	300	300	0	complete_optional	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	RF410	per_activation_optional	300	300	300	300	0	complete_optional	direct occurrences only; no inferred or zero-filled boundary
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	GCODE	suite_scope_observed		2	2			observed	CODE is scoped by exact Gateway line interval and frozen FID; it is not assigned to an activation
c5-reusable-direct-event-coverage-v1	C5	reusable-concurrency	dynamic-html-derived-v1	measured	GRESULT	scope_zero_required		0	0	0		expected_zero	Gateway RESULT must remain unused on the direct-result path
