schema_version	profile	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision	action_identity_sha256	measurement_sequence	terminal_success	store_evidence_status	rid_status	decrypt_status	workload_status	payload_evidence_status	analysis_eligible	quality_reason	container_hostname	container_identity	init_time_present	init_time_ms	fresh_placement_eligible	warm_reuse_eligible	client_start_unix_ns	client_end_unix_ns	activation_get_first_success_unix_ns	first_result_latency_ms	activation_duration_ms	upload_elapsed_ms	artifact_size_observed_bytes	action_zip_bytes	action_fetch_duration_ns	action_fetch_status	runtime_init_duration_ns	runtime_init_status	kms_key_release_duration_ns	kms_key_release_status	function_key_decap_duration_ns	function_key_decap_status	cfunc_aes_gcm_duration_ns	cfunc_aes_gcm_status	wasm_load_duration_ns	wasm_load_status	wasm_instantiate_duration_ns	wasm_instantiate_status	input_key_decap_duration_ns	input_key_decap_status	input_aes_gcm_duration_ns	input_aes_gcm_status	workload_core_duration_ns	output_kem_duration_ns	output_kem_status	output_aes_gcm_duration_ns	output_aes_gcm_status	outer_execution_duration_ns	phase_evidence_status
c2-native-attempt-v1	native	65536	1	fresh_first_use	0	s65536-g001-fresh	ef4ef46eb1f241898ef46eb1f2618989	/guest/c2_native_sleep50_r351_direct_events_s65536_g001	0.0.1@1784738954009	25bf67e3478d344d2606c07543654a5404252b135f0193657f63f29003b682ef	1	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	15fedb3e2956	15fedb3e2956:7	true	70	true	false	1784739050709056806	1784739051462736859	1784739051482308762	753.680427	130	267.764842	65536	65650		unavailable_no_direct_event	70000000	activation_annotation_initTime		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50414784		not_on_path_native		not_on_path_native	50468344	complete
c2-native-attempt-v1	native	65536	1	warm_followup	1	s65536-g001-warm01	6160639b753b40dfa0639b753b60df65	/guest/c2_native_sleep50_r351_direct_events_s65536_g001	0.0.1@1784738954009	25bf67e3478d344d2606c07543654a5404252b135f0193657f63f29003b682ef	2	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	15fedb3e2956	15fedb3e2956:7	false		false	true	1784739051482453365	1784739051584558123	1784739051594100796	102.105267	56	267.764842	65536	65650		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50275521		not_on_path_native		not_on_path_native	50294590	complete
c2-native-attempt-v1	native	65536	1	warm_followup	2	s65536-g001-warm02	4ac23f71fb8e46d9823f71fb8e26d9f3	/guest/c2_native_sleep50_r351_direct_events_s65536_g001	0.0.1@1784738954009	25bf67e3478d344d2606c07543654a5404252b135f0193657f63f29003b682ef	3	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	15fedb3e2956	15fedb3e2956:7	false		false	true	1784739051594293614	1784739051675601154	1784739051688489966	81.307731	55	267.764842	65536	65650		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50318310		not_on_path_native		not_on_path_native	50342444	complete
c2-native-attempt-v1	native	65536	1	warm_followup	3	s65536-g001-warm03	1529cbb28e734945a9cbb28e732945da	/guest/c2_native_sleep50_r351_direct_events_s65536_g001	0.0.1@1784738954009	25bf67e3478d344d2606c07543654a5404252b135f0193657f63f29003b682ef	4	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	15fedb3e2956	15fedb3e2956:7	false		false	true	1784739051688702629	1784739051766726535	1784739051777942602	78.023637	52	267.764842	65536	65650		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	49208433		not_on_path_native		not_on_path_native	49214261	complete
c2-native-attempt-v1	native	65536	1	warm_followup	4	s65536-g001-warm04	d3e11df569f74d54a11df569f76d54bf	/guest/c2_native_sleep50_r351_direct_events_s65536_g001	0.0.1@1784738954009	25bf67e3478d344d2606c07543654a5404252b135f0193657f63f29003b682ef	5	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	15fedb3e2956	15fedb3e2956:7	false		false	true	1784739051778103453	1784739051870082156	1784739051881814948	91.979134	57	267.764842	65536	65650		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	49238508		not_on_path_native		not_on_path_native	49246552	complete
c2-native-attempt-v1	native	65536	1	warm_followup	5	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	/guest/c2_native_sleep50_r351_direct_events_s65536_g001	0.0.1@1784738954009	25bf67e3478d344d2606c07543654a5404252b135f0193657f63f29003b682ef	6	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	15fedb3e2956	15fedb3e2956:7	false		false	true	1784739051882009319	1784739051974841442	1784739052247132921	92.832796	55	267.764842	65536	65650		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50188890		not_on_path_native		not_on_path_native	50195353	complete
c2-native-attempt-v1	native	262144	1	fresh_first_use	0	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	/guest/c2_native_sleep50_r351_direct_events_s262144_g001	0.0.1@1784738960120	e68bfce55c5c6bf82252961bdb7aad7b5792b09ea8d54bfbb042f33c984d5abb	7	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	db79b6e29b61	db79b6e29b61:8	true	124	true	false	1784739052247284187	1784739052595374291	1784739052604401382	348.090257	181	81.585011	262144	262258		unavailable_no_direct_event	124000000	activation_annotation_initTime		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50388982		not_on_path_native		not_on_path_native	50433865	complete
c2-native-attempt-v1	native	262144	1	warm_followup	1	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	/guest/c2_native_sleep50_r351_direct_events_s262144_g001	0.0.1@1784738960120	e68bfce55c5c6bf82252961bdb7aad7b5792b09ea8d54bfbb042f33c984d5abb	8	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	db79b6e29b61	db79b6e29b61:8	false		false	true	1784739052604539704	1784739052695603706	1784739052709347783	91.064013	63	81.585011	262144	262258		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50338435		not_on_path_native		not_on_path_native	50365310	complete
c2-native-attempt-v1	native	262144	1	warm_followup	2	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	/guest/c2_native_sleep50_r351_direct_events_s262144_g001	0.0.1@1784738960120	e68bfce55c5c6bf82252961bdb7aad7b5792b09ea8d54bfbb042f33c984d5abb	9	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	db79b6e29b61	db79b6e29b61:8	false		false	true	1784739052709540334	1784739052807109234	1784739052816086186	97.569393	55	81.585011	262144	262258		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50298072		not_on_path_native		not_on_path_native	50318780	complete
c2-native-attempt-v1	native	262144	1	warm_followup	3	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	/guest/c2_native_sleep50_r351_direct_events_s262144_g001	0.0.1@1784738960120	e68bfce55c5c6bf82252961bdb7aad7b5792b09ea8d54bfbb042f33c984d5abb	10	true	present	not_on_path_native	not_on_path_native	match	complete	true	ok	db79b6e29b61	db79b6e29b61:8	false		false	true	1784739052816217593	1784739052900320446	1784739052915424479	84.103466	54	81.585011	262144	262258		unavailable_no_direct_event		not_repeated_warm		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native		not_on_path_native	50195049		not_on_path_native		not_on_path_native	50202048	complete
